timestamp,symbol,mark_price,index_price,mark_premium_pct,funding_rate_pct,open_interest,trend_1m,trend_5m,trend_15m,orderbook_snapshot_imbalance,context_quality,context_confirm,warnings_json
2026-07-04T20:26:50.629613+00:00,DOTUSDT,0.887,0.88773628,-0.08293904581662852,0.01,31456723.2,flat,up,down,0.07810424372771622,OK,INSUFFICIENT,[]
2026-07-04T20:26:51.628299+00:00,NEARUSDT,1.989,1.98987838,-0.04414239628051265,-0.002444,42523211.0,up,up,down,0.1555678239468134,OK,INSUFFICIENT,[]
2026-07-04T20:26:53.126950+00:00,UNIUSDT,3.22744183,3.22873033,-0.03990732790619289,0.01,18551893.0,up,down,down,0.02130601585984259,OK,INSUFFICIENT,[]
2026-07-04T20:26:53.897119+00:00,AAVEUSDT,89.22,89.27085658,-0.056968849575702564,0.003974999999999999,613218.3,up,flat,down,-0.0038463826937438546,OK,INSUFFICIENT,[]
2026-07-04T20:26:55.462426+00:00,WLDUSDT,0.4272,0.42740679,-0.04838247890258289,0.00025299999999999997,177313874.0,up,up,down,-0.047864632999972165,OK,INSUFFICIENT,[]
2026-07-04T20:26:56.182540+00:00,ZECUSDT,465.73066141,465.98102831,-0.05372898997799057,0.01,529683.674,up,flat,down,0.22698795878298664,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:27:05.653245+00:00,BTCUSDT,63149.2,63177.02,-0.04403499880177905,0.009441,106330.08,flat,down,down,0.32515834314671194,OK,INSUFFICIENT,[]
2026-07-04T20:27:08.167331+00:00,ETHUSDT,1784.24,1784.80255814,-0.031519348593170134,0.009437000000000001,2322163.124,flat,flat,down,-0.3957114853828237,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-05T03:40:14.606706+00:00,BTCUSDT,62735.7717971,62757.01304348,-0.03384680906543882,0.007771999999999999,106330.08,flat,down,down,-0.9860742530217164,OK,INSUFFICIENT,[]
2026-07-05T03:40:15.129805+00:00,ETHUSDT,1761.41022481,1761.50906977,-0.005611379566320225,0.008281,2322163.124,flat,flat,down,-0.3369906995129176,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-05T03:40:15.698369+00:00,BNBUSDT,570.89,570.64533356,0.042875394857534756,0.0027500000000000003,569469.67,down,down,down,-0.13859117865173182,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-05T03:40:17.302956+00:00,SOLUSDT,80.4916413,80.53279683,-0.051104061475568036,0.005412999999999999,10226377.17,up,flat,down,-0.08443004293021367,OK,INSUFFICIENT,[]
2026-07-05T03:40:17.796093+00:00,XRPUSDT,1.13791622,1.13848872,-0.050285961550860764,0.01,333974430.0,down,down,down,-0.03778078217861856,OK,INSUFFICIENT,[]
2026-07-05T03:40:18.367669+00:00,DOGEUSDT,0.07606135,0.07609732,-0.047268418914090914,0.007524,2403423679.0,flat,down,down,0.04791719759543285,OK,INSUFFICIENT,[]
2026-07-05T03:40:19.982521+00:00,ADAUSDT,0.1902,0.1903512,-0.07943212335934327,0.01,499216670.0,flat,up,down,0.06483617792422951,OK,INSUFFICIENT,[]
2026-07-05T03:40:20.511092+00:00,TRXUSDT,0.32413,0.32437882,-0.07670661111599038,-0.006695,274349751.0,flat,flat,down,0.17102701544081322,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-05T03:40:21.511616+00:00,LINKUSDT,7.89033933,7.89359687,-0.041268132305822866,0.005922,8539276.94,flat,down,down,-0.10489051662827302,OK,INSUFFICIENT,[]
2026-07-05T03:40:22.725945+00:00,AVAXUSDT,6.81191867,6.81799487,-0.08912004358841452,-0.0010659999999999999,7816389.0,up,flat,down,0.012031186718062917,OK,INSUFFICIENT,[]
2026-07-05T03:40:23.246990+00:00,SUIUSDT,0.74117041,0.7416404,-0.06337168255667183,0.01,101809639.4,flat,flat,down,-0.01699571889648894,OK,INSUFFICIENT,[]
2026-07-05T03:40:24.684233+00:00,BCHUSDT,237.32,237.46321193,-0.0603091017071828,0.009326,332322.818,down,down,down,0.1153659041454387,OK,INSUFFICIENT,[]
2026-07-05T03:40:25.543093+00:00,LTCUSDT,44.25,44.28676471,-0.08301511803976598,0.00916,1142557.738,flat,flat,down,0.014237556274653508,OK,INSUFFICIENT,[]
2026-07-05T03:40:26.154066+00:00,HBARUSDT,0.07537615,0.07540559,-0.039042198330378024,0.01,306555429.0,flat,down,down,-0.12002247037801698,OK,INSUFFICIENT,[]
2026-07-05T03:40:27.793205+00:00,DOTUSDT,0.869,0.8693225,-0.037097854938760166,0.007653,31456723.2,flat,up,down,0.05370365153155776,OK,INSUFFICIENT,[]
2026-07-05T03:40:28.338691+00:00,NEARUSDT,1.968,1.96945405,-0.07383010535330767,0.01,42523211.0,up,up,down,0.1766122557324799,OK,INSUFFICIENT,[]
2026-07-05T03:40:29.324370+00:00,UNIUSDT,3.18432968,3.18560877,-0.040152137074891,0.01,18551893.0,up,down,down,0.07052835203241979,OK,INSUFFICIENT,[]
2026-07-05T03:40:30.662103+00:00,AAVEUSDT,87.62275097,87.70461159,-0.09333673397093542,0.006124,613218.3,up,flat,down,-0.030874703056773544,OK,INSUFFICIENT,[]
2026-07-05T03:40:31.215075+00:00,WLDUSDT,0.4129,0.41306511,-0.03997190660814316,0.002258,177313874.0,up,up,down,-0.007201897470344125,OK,INSUFFICIENT,[]
2026-07-05T03:40:32.678370+00:00,ZECUSDT,453.26173276,453.49251727,-0.05089047805889831,0.01,529683.674,up,flat,down,0.20862684242513302,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-05T03:40:47.765864+00:00,BTCUSDT,62726.0,62754.99891304,-0.046209725985627066,0.007771999999999999,106330.08,flat,down,down,0.41916142775295884,OK,INSUFFICIENT,[]
2026-07-05T03:40:48.310851+00:00,ETHUSDT,1761.34,1761.42534884,-0.004845441792708309,0.008281,2322163.124,flat,flat,down,-0.48550773887278464,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-05T03:40:49.250588+00:00,BNBUSDT,570.8623829,570.57136096,0.05100535356529272,0.0027500000000000003,569469.67,down,down,down,-0.10436960329617201,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
